,Time (s),A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6
0,0.0,10.381772881373763,8.926588634494692,6.492191459983587,11.893986084032804,3.678091161418706,1.8631544662639499,7.757800631225109,5.258247256278992,8.136063115671277,8.538539987057447,4.654524673242122,5.814705218654126,3.326436853967607,4.058689228259027,3.6637866287492216,6.067297363188118,2.84302223008126,3.359120455570519,4.513793101068586,2.107357431668788,0.0,4.577719664666802,5.352820153348148,4.9279333325102925
1,0.01,11.45758869824931,8.896073268260807,8.09638004284352,13.148535799700767,3.4520708140917122,3.6287601687945426,8.867413271218538,5.6736316764727235,9.532275726087391,8.362025255337358,5.229980160947889,5.464156856760383,4.874840669799596,5.288726242724806,5.136789695825428,7.417576853185892,3.6903293221257627,3.2616371754556894,6.32999581284821,4.645349690690637,3.7450226955115795,5.948655598331243,6.1514219851233065,4.80757444165647
2,0.02,11.656506103463471,9.931813110597432,9.039242286235094,13.549491995945573,5.6710123317316175,5.685775249730796,6.894566467963159,7.3053743108175695,9.295850759372115,7.046277460176498,4.934976459480822,5.712972779292613,5.081179551780224,4.395849828142673,4.878980689682066,7.20370007911697,4.848960088565946,4.768160579260439,4.637899110093713,5.346424586605281,6.778893293812871,6.086047505959868,4.529189027380198,5.672511179000139
3,0.03,12.346557923592627,10.271280189044774,8.653536497149616,13.947348634246737,9.00888699106872,7.046044629532844,8.256378350779414,9.108291123993695,8.402515959460288,6.483853212557733,5.613634129986167,6.409936759155244,5.211237294133753,5.339403287507594,6.266651325859129,6.687492714263499,6.034177204128355,7.711336365900934,3.4764816518872976,5.127796612214297,4.793510015588254,5.744732334278524,4.2445899453014135,6.997237505856901
4,0.04,13.428660167846829,10.467862011864781,9.477378625888377,15.48480213386938,9.883769962470978,8.983435691334307,11.321208148729056,9.070885425899178,9.04650369193405,7.296825060620904,7.05676939105615,7.426984666381031,6.0289312386885285,8.590490324422717,7.996270142029971,6.830523489043117,5.424677510745823,9.962881449609995,6.2161198002286255,5.908113962505013,2.018023224081844,7.705835741944611,6.899048457853496,6.739348464179784
5,0.05,12.445088941603899,9.364674042444676,9.958865121006966,15.024379536043853,7.309179636649787,8.410766895394772,9.700044756755233,6.319532985799015,9.53919516177848,7.487156835850328,6.244554242584854,6.6865686676464975,5.267676897346973,8.258124580606818,5.796733603347093,6.99671363690868,2.8093127184547484,8.000097295735031,7.247414032462984,5.973059160169214,2.2814274416305125,8.611925295554101,7.917013135738671,5.754322046414018
6,0.06,10.53906453307718,7.959512004163116,8.36989056551829,12.951029930263758,5.727575626224279,6.117632437963039,6.3878760556690395,4.738816642202437,8.03837610874325,7.153437763918191,4.8229339881800115,5.2575269364751875,4.400390025693923,5.282876372803003,2.1318919607438147,6.512818799819797,2.4051842046901584,4.282010195311159,4.555251507554203,4.658031684812158,3.707042196765542,6.094691343605518,5.889094609301537,6.454029062297195
7,0.07,11.163734598085284,8.815557521302253,7.274735253304243,13.571945601142943,6.949776434339583,7.651760824956,6.2767285271547735,5.711597623303533,6.575231964234263,7.690970960538834,6.159403710626066,6.266367563512176,5.260197212919593,5.149573553353548,2.082633727695793,5.943700671195984,5.084591975901276,3.878441930282861,3.4269760362803936,3.7144709494896233,3.6513592931441963,4.419060132931918,4.825917130801827,7.29890598449856
8,0.08,13.950142601970583,10.101743100676686,8.726136002223939,16.15143264643848,8.490045729558915,11.1757981358096,8.283168426714838,6.8140579969622195,7.209957402665168,8.757167961448431,8.516719390172511,8.493072527926415,5.779540515504777,6.658330676145852,5.784946552012116,6.844289600849152,6.74108014209196,5.370959115680307,5.347348633222282,4.402922058943659,2.956308890134096,5.7495926739647985,6.03952503297478,6.745416612830013
9,0.09,14.253295375965536,9.136791049968451,10.262723662890494,16.50321064516902,9.280687663704157,10.148964065592736,10.077841579914093,8.431030437350273,8.049843017943203,9.670875442679971,8.473871275782585,8.864612027537078,5.066525773145258,6.319605745375156,8.875889761839062,7.936985639389604,5.735470040235668,5.094945663586259,6.427871994674206,5.487454473040998,3.5624034353531897,6.141286576166749,6.6366046667099,6.4453124650754035
10,0.1,10.47072873916477,7.134221959859133,8.934854122344404,14.304387150332332,8.668932423461229,6.1071550589986145,9.237650374416262,10.112038580700755,6.785507139284164,9.478928404860198,6.305701390374452,7.301612640731037,4.1358289308846,4.9587542889639735,7.106529665179551,6.029680662322789,3.7986465031281114,3.939851012546569,5.364658136386424,4.852416168432683,4.51696541858837,4.178356903139502,5.557856638915837,6.666872650384903
11,0.11,8.381284715142101,6.242276867851615,6.71768793836236,12.24593142978847,6.728943844791502,4.802452167496085,6.084352207835764,9.210190910380334,5.937981768511236,7.844842912163585,4.6581553760915995,5.738751497119665,3.6634228308685124,4.614914359990507,2.57010105997324,3.6618730518966913,2.7360583771951497,4.2647006921470165,5.161200533621013,3.919936716556549,4.4161497498862445,4.385859938338399,5.161367880646139,6.575915904249996
12,0.12,11.649135558400303,7.243259460665286,7.415022992063314,12.162585335318,6.697293429169804,5.853500624652952,6.237889465410262,8.204398909583688,8.502371201757342,7.32372427592054,5.006775609217584,6.431029760278761,4.756620910484344,5.496978701557964,1.5998666640371084,5.332374712452292,3.9395454223267734,6.170543201733381,6.968111847527325,5.138732376508415,4.643363354261965,7.991511665750295,6.979331374168396,6.94712798576802
13,0.13,14.551114873029292,9.239105565939099,9.922347089741379,13.57513974653557,8.524933946318924,6.346243026200682,10.484436643309891,10.02435601549223,11.110394552815706,8.635892299935222,6.390291673596948,9.046380000654608,6.450565706472844,5.919107934460044,4.316541890148073,7.969232683535665,6.5207204897888005,7.539638318121433,7.562091923318803,6.4024352468550205,5.702728230971843,9.068615327123553,8.892828191164881,7.139627996366471
14,0.14,13.031982234679163,10.314281098544598,10.905809176620096,14.945057046134025,8.484814316034317,7.1117974584922194,12.537580914795399,11.327669199090451,10.073374141938984,8.891664037946612,7.118316716514528,9.813738870434463,6.166221282910556,5.160349246580154,5.457666702568531,7.8394514275714755,7.754955731797963,6.721304089296609,6.333189958240837,5.7990982895717025,6.39820791548118,5.796951882075518,8.242590411100537,5.708207027055323
15,0.15,10.399424354545772,9.05500928638503,9.802213753573596,14.92701267125085,6.4399573602713645,7.487105904147029,9.82610072242096,9.099712769966573,7.071983418427408,7.219998224172741,5.799447535537183,6.881586159579456,4.192297637928277,4.607332812156528,3.119814209640026,6.642352673225105,6.470298103522509,4.459114279597998,5.648020305670798,4.881359927821904,6.5559070208109915,3.285545972175896,5.472793418448418,4.3988911784254014
16,0.16,9.677372872829437,7.414397259708494,8.59019928611815,13.826676877215505,5.464105925057083,5.703310307580978,6.192392902448773,6.347756425384432,5.575500836130232,6.385926099028438,3.67832399206236,4.611028998624533,3.5222547012381256,5.256144504528493,0.9567229426465929,5.687259545084089,4.898567567579448,3.4487384255044162,5.004258127883077,4.900459316559136,6.8172739702276886,3.595261659938842,3.9896185626275837,5.458539817482233
