,Time (s),A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6
0,0.0,3.810368070844561,5.129950295668095,6.982612831052393,5.489164323080331,3.873246896546334,1.4603501767851412,4.3354666559025645,4.929264832753688,4.743051249533892,3.2594907679595053,1.2411619536578655,4.085064574610442,4.134417395107448,4.982997779734433,7.495269528590143,6.689944711979479,6.160371412988752,9.50345565797761,6.997179298195988,7.139969966374338,3.4116237657144666,5.54860889678821,4.727720806840807,6.369205948431045
1,0.01,3.355584340170026,7.49262108001858,7.003225618973374,6.158457836136222,4.6457789721898735,3.9959049900062382,3.978530003223568,5.560425051953644,5.096590030007064,3.702996764332056,1.177002559415996,4.578949301503599,5.041620170231909,6.758687959518284,7.559050573036075,8.960661944001913,6.4262349042110145,8.376904588658363,6.751040928065777,6.690752343274653,5.761205102317035,5.5548298405483365,5.83293876843527,7.207505404949188
2,0.02,5.073772626928985,7.259863195940852,6.027970812283456,9.694180334918201,2.5908739189617336,3.733504854608327,3.797766112256795,4.294161044526845,3.6547789932228625,2.469198079779744,0.9411814971826971,4.253626684658229,3.061890311073512,3.8963116821832955,6.163027137517929,6.1920800362713635,4.808520316146314,5.559661076404154,4.81185270473361,3.5404154914431274,4.224151780363172,4.167231963947415,3.419896529521793,5.882022378500551
3,0.03,6.230751750990748,5.580659490078688,5.315509042702615,9.21646278584376,2.016757207456976,2.629494701977819,3.993794962298125,2.6383568183518946,4.1887760744430125,4.065746907144785,1.998225343413651,3.4760305425152183,3.320878022350371,1.7526763258501887,5.3591138566844165,4.445922968443483,4.547422577161342,7.169532182160765,7.288814231287688,3.421962901484221,3.4346376196481287,4.763111064676195,2.786640834528953,6.009962817188352
4,0.04,5.980473360978067,7.378752343356609,7.3499977588653564,8.022638212423772,4.8171423259191215,4.768699000123888,4.080386133864522,3.7483114283531904,5.407193384598941,6.693619070574641,5.818539648316801,4.088367859367281,4.471577994991094,3.6927012843079865,5.203430191613734,5.051530024502426,4.820547474082559,8.600662113167346,8.944931323640049,4.203087883070111,4.399495082907379,4.756286216434091,3.3472460927441716,6.364680302795023
5,0.05,5.28953387401998,9.185729140881449,7.738693966530263,6.929934897925705,5.527792382054031,6.442824087571353,3.621949872467667,5.973073712084442,4.6397908590734005,5.491048796102405,8.303599315695465,5.1560127758421,3.6107885534875095,5.0892558647319674,5.842914106324315,5.640038580168039,5.611669621430337,7.229420589283109,6.5792701207101345,3.5941629903391004,4.672932846006006,3.7517602322623134,3.1936215236783028,5.799091013614088
6,0.06,5.408066499512643,7.58069654693827,5.046531441621482,5.862108082510531,2.6595735107548535,4.978464858140796,3.193068550899625,6.008551281411201,3.0659575713798404,3.2979442039504647,5.3374533308669925,4.532623279374093,2.26514384848997,3.469562216196209,6.378897523973137,5.87842077948153,6.444352038670331,6.609639967791736,4.313682438805699,3.1643357942812145,3.7036807043477893,4.039160558022559,3.375702362973243,4.315494152251631
7,0.07,5.339017661754042,5.775807949248701,2.728491381276399,6.14854070590809,1.0993026080541313,3.6142082535661757,2.8120484785176814,4.668465408030897,2.9952061595395207,4.1385210352018476,0.9176874300464988,3.3929463825188577,2.5129338609986007,3.1731833587400615,5.593021342065185,7.02821125742048,6.376758392434567,7.819078746251762,3.892251697834581,3.931840183213353,3.067769284825772,4.879329935647547,4.846959200222045,3.605222445912659
8,0.08,4.207366146147251,6.598318577744067,3.3659598557278514,7.314360118471086,3.2363677746616304,4.413937858771533,3.208588168490678,4.560068191494793,4.6001223381608725,5.015921487938613,1.207030436489731,4.219567927066237,3.928733349312097,5.197158316150308,5.189642251934856,8.644143235869706,6.718059012200683,8.65836045704782,4.465160600375384,5.03238698001951,3.933586413040757,4.995476047042757,6.125475920271128,4.868219548370689
9,0.09,4.449088010005653,8.536328095942736,7.086302503012121,8.80235165823251,6.544629286509007,6.176414899528027,5.09880919707939,5.774541932623833,6.3007682911120355,4.318957508075982,5.282097845338285,6.281443347688764,5.06477226736024,5.413916369434446,6.682828825432807,8.820315997581929,8.082199201453477,8.240152965299785,5.843416147399694,5.546404281631112,5.747671821154654,5.435344064608216,5.930582119617611,6.217909685801715
10,0.1,6.288188160397112,8.502574928570539,9.897084964904934,9.428993507754058,7.185131835285574,7.048045517876744,5.973597581032664,6.2513427110388875,6.504036718979478,4.720735887531191,7.223679858725518,6.410889909602702,4.801215254701674,3.417240804992616,7.6832584454678,7.215698133222759,8.353272278327495,7.079645001795143,6.391943315975368,5.245157808531076,6.28936686553061,6.377333193086088,5.267778760753572,6.166163075249642
