,Time (s),A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6
0,0.0,10.075411410070956,12.489850632846355,7.239621481858194,6.160960765555501,5.033718480262905,4.758454451803118,8.686954970471561,4.509740392677486,6.263253453653306,6.086709618102759,3.6493147490546107,6.68904249323532,5.155641702003777,3.3983669709414244,6.0190941439941525,4.134388291276991,3.4209006116725504,4.896195605397224,4.126770363654941,2.5573826860636473,6.191025022417307,5.75519516132772,5.105706804897636,2.7032801881432533
1,0.01,10.086521797347814,12.856937246397138,8.108858310151845,5.892645276617259,4.90799720864743,3.3056057873182,6.8584849941544235,5.1061142585240304,4.481895302888006,4.572946636471897,4.143868864048272,4.864246875513345,5.019144737161696,4.0550585254095495,7.121270755305886,5.271140253171325,4.549321602098644,4.882022039964795,3.234963514842093,2.920525730587542,5.404726834967732,3.9227015804499388,4.313238605391234,2.916436642408371
2,0.02,10.5936051113531,15.015190001577139,7.496390026062727,7.668677426408976,5.092413630336523,4.291847290005535,5.221430910751224,4.64523327536881,3.7577992770820856,4.012676072306931,4.412133421283215,4.918860213365406,3.7888239603489637,3.8387152017094195,7.801128958817571,6.57757482258603,3.154367732349783,4.810855898540467,4.608271410688758,4.219822585582733,4.858404281549156,3.5606426536105573,3.9686638046987355,3.1093295547179878
3,0.03,9.907766070682555,13.738979760091752,4.590307071339339,6.555739673785865,4.756395355798304,5.2990944823250175,3.9613951230421662,4.063535016030073,4.0709273889660835,3.638531779870391,2.604727342259139,5.093905201647431,3.40945553034544,2.946580934803933,4.935376637149602,7.169182936195284,1.1960219126194715,3.79883567802608,5.225134373176843,3.828150511253625,3.8853322621434927,4.9855298129841685,4.0009545045904815,2.53392499871552
4,0.04,9.697869245428592,9.867500921245664,2.6400666683912277,3.284345439169556,2.7678543119691312,4.255110980011523,2.188979124184698,2.6149427867494524,3.527267836034298,3.5178527468815446,1.950509613379836,3.418666892684996,4.834088031202555,2.5509216357022524,2.2441308829002082,5.659181624650955,1.4473116607405245,2.77882645605132,3.153923898935318,1.1011070455424488,3.216948243789375,4.407600499689579,2.748522092588246,2.2996464394964278
5,0.05,11.791438737418503,10.076102626044303,5.345020326785743,4.677836841437966,1.847016392275691,3.562621714081615,3.3857504604384303,1.8176942830905318,3.458801074884832,5.723821232095361,3.9070946513675153,2.95725476462394,7.16275826562196,3.0052615329623222,3.8248545024544,4.34851972386241,3.3972610253840685,3.8222569855861366,1.2168893590569496,0.5729234544560313,4.0494269342161715,3.16352816298604,1.3357712305150926,3.170156560372561
6,0.06,13.409400708042085,12.839191185776144,8.230243111029267,7.889539119787514,3.228138666599989,4.674962838180363,6.99314841767773,3.541397745721042,4.514491592999548,8.220835297834128,4.776607966050506,5.382535164244473,8.191309461835772,4.581626853905618,6.122470949776471,5.9103258536197245,4.569694283418357,4.756882844958454,1.315042027272284,3.498702426441014,4.7117864596657455,4.217588866595179,1.974738552235067,3.355395165272057
7,0.07,11.812866432592273,12.455668183974922,6.370057235471904,6.928290531504899,3.4288823371753097,6.303234840743244,7.446476956829429,4.943853127770126,4.456378519535065,7.460454071406275,3.884750185534358,6.905109330546111,7.881957571953535,6.494905392173678,5.8411460486240685,8.291273843497038,3.5462508094497025,3.8479483919218183,2.5774133973754942,5.347574187908322,4.207751771900803,5.42239286005497,4.005923983640969,2.0778679754585028
8,0.08,9.692448657006025,10.284704330842942,3.3716860343702137,4.771369276568294,1.4832912711426616,6.322356057353318,5.286296072881669,3.4832555684261024,3.40589031111449,4.98859299113974,3.0124574550427496,5.394271283876151,8.62985325511545,5.877431249246001,4.6697387006133795,7.549919246230274,1.803142367862165,4.168367013335228,4.2083338485099375,3.676505002658814,4.221707058604807,4.144378181081265,4.837602318730205,1.1015654308721423
9,0.09,10.147188731934875,10.043979273177683,3.228982677683234,4.901834472548217,1.387947122566402,4.5470878831110895,5.045694706495851,2.4074033717624843,3.715853381436318,4.528781573753804,1.8229984561912715,4.031899152323604,10.761046723928303,2.6713460101746023,3.9409424061886966,4.122528480365872,1.9103899830952287,6.059919542167336,5.523594154510647,1.437292667105794,4.760884621646255,2.6969719328917563,3.827160981018096,1.4651232049800456
